images_path,label
Preprocessed\anger\img_0000.jpg,0
Preprocessed\anger\img_0001.jpg,0
Preprocessed\anger\img_0002.jpg,0
Preprocessed\anger\img_0003.jpg,0
Preprocessed\anger\img_0004.jpg,0
Preprocessed\anger\img_0005.jpg,0
Preprocessed\anger\img_0006.jpg,0
Preprocessed\anger\img_0007.jpg,0
Preprocessed\anger\img_0008.jpg,0
Preprocessed\anger\img_0009.jpg,0
Preprocessed\anger\img_0010.jpg,0
Preprocessed\anger\img_0011.jpg,0
Preprocessed\anger\img_0012.jpg,0
Preprocessed\anger\img_0013.jpg,0
Preprocessed\anger\img_0014.jpg,0
Preprocessed\anger\img_0015.jpg,0
Preprocessed\anger\img_0016.jpg,0
Preprocessed\anger\img_0017.jpg,0
Preprocessed\anger\img_0018.jpg,0
Preprocessed\anger\img_0019.jpg,0
Preprocessed\anger\img_0020.jpg,0
Preprocessed\anger\img_0021.jpg,0
Preprocessed\anger\img_0022.jpg,0
Preprocessed\anger\img_0023.jpg,0
Preprocessed\anger\img_0024.jpg,0
Preprocessed\anger\img_0025.jpg,0
Preprocessed\anger\img_0026.jpg,0
Preprocessed\anger\img_0027.jpg,0
Preprocessed\anger\img_0028.jpg,0
Preprocessed\anger\img_0029.jpg,0
Preprocessed\anger\img_0030.jpg,0
Preprocessed\anger\img_0031.jpg,0
Preprocessed\anger\img_0032.jpg,0
Preprocessed\anger\img_0033.jpg,0
Preprocessed\anger\img_0034.jpg,0
Preprocessed\anger\img_0035.jpg,0
Preprocessed\anger\img_0036.jpg,0
Preprocessed\anger\img_0037.jpg,0
Preprocessed\anger\img_0038.jpg,0
Preprocessed\anger\img_0039.jpg,0
Preprocessed\anger\img_0040.jpg,0
Preprocessed\anger\img_0041.jpg,0
Preprocessed\anger\img_0042.jpg,0
Preprocessed\anger\img_0043.jpg,0
Preprocessed\anger\img_0044.jpg,0
Preprocessed\anger\img_0045.jpg,0
Preprocessed\anger\img_0046.jpg,0
Preprocessed\anger\img_0047.jpg,0
Preprocessed\anger\img_0048.jpg,0
